metric,breakdown_category,breakdown_category,felony,,Boone Adult Probation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,YEAR TO DATE,,,,,,,,,,,,,,,
total amount rest ordered,rest and fees,rest and fees,all,B. Total Amount Rest. Ordered,1322.78,3401.86,457743.15,550,25840.79,0,425,3304,913.01,125,1344.92,1400.13,"$496,370.64 ",,,,,,,,,,,,,,,
new cases ordered to pay fees,rest and fees,rest and fees,all,C. New Cases Ordered to Pay Fees,34,20,35,30,27,17,23,25,29,22,31,22,315,,,,,,,,,,,,,,,
,,,,IV. PROGRAMS ORDERED FOR NEW CASES (ACTIVE AND ADMINISTRATIVE),,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
alcohol,new cases,treatment programs ordered,all,A. Alcohol Treatment,10,5,3,9,6,6,2,3,1,6,5,7,63,,,,,,,,,,,,,,,
drug,new cases,treatment programs ordered,all,B. Drug Treatment,1,2,5,1,3,0,3,3,8,4,3,3,36,,,,,,,,,,,,,,,
alc and drug,new cases,treatment programs ordered,all,C. Alcohol & Drug Treatment,11,6,9,10,10,2,5,5,3,3,8,9,81,,,,,,,,,,,,,,,
mental health,new cases,treatment programs ordered,all,D. Mental Health,8,4,11,17,12,4,10,2,6,5,11,7,97,,,,,,,,,,,,,,,
sex offender,new cases,treatment programs ordered,all,E. Sex Offender Treatment,0,0,2,0,0,1,0,0,2,1,0,2,8,,,,,,,,,,,,,,,
TASC,new cases,treatment programs ordered,all,F. TASC,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,Total:,30,17,31,37,31,13,20,13,20,19,27,28,286,,,,,,,,,,,,,,,
,,,,V. PROGRAMS ORDERED FOR DUI CASES (ACTIVE AND ADMINISTRATIVE),,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
dui ed.,new cases,treatment programs ordered,all,A. DUI Education,0,0,0,0,2,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,
treatment,new cases,treatment programs ordered,all,B. Treatment,7,2,1,1,2,0,1,1,1,0,0,1,17,,,,,,,,,,,,,,,
alc and drug,new cases,treatment programs ordered,all,C. Alcohol & Drug Treatment,2,2,2,4,3,2,2,2,2,2,4,3,30,,,,,,,,,,,,,,,
other,new cases,treatment programs ordered,all,D. Other (Explain),3,2,0,5,0,1,0,2,0,1,2,0,16,,,,,,,,,,,,,,,
,,,,Total:,12,6,3,10,7,3,3,6,3,3,6,4,66,,,,,,,,,,,,,,,
,,,,VI. DUI ASSESSMENT LEVEL (ACTIVE AND ADMINISTRATIVE),,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
level 1,probation,dui assessment level,all,A.1)  Probation - Level 1,0,0,0,0,2,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,
level 2 sig,probation,dui assessment level,all,A.2a)  Probation Level 2/Sig,0,2,1,4,1,2,1,0,0,2,4,3,20,,,,,,,,,,,,,,,
level 2 mod,probation,dui assessment level,all,A.2b)  Probation  Level 2/Mod,2,0,1,0,0,0,0,0,1,0,0,0,4,,,,,,,,,,,,,,,
level 3,probation,dui assessment level,all,A.3)  Prob. Level 3,7,2,1,1,3,0,1,1,1,0,0,1,18,,,,,,,,,,,,,,,
no assess,probation,dui assessment level,all,A.4)  Prob/No Assess,3,2,0,5,0,1,0,0,0,1,1,0,13,,,,,,,,,,,,,,,
,,,,A.5)  Total:,12,6,3,10,6,3,2,2,2,3,5,4,58,,,,,,,,,,,,,,,
level 1,cond disch,dui assessment level,all,B.1)  Cond. Disch. Level 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
level 2 sig,cond disch,dui assessment level,all,B.2a) Cond. Dis. Level 2/Sig,0,0,0,0,1,0,1,1,0,0,0,0,3,,,,,,,,,,,,,,,
level 2 mod,cond disch,dui assessment level,all,B.2b) Cond. Dis. Level 2/Mod,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
level 3,cond disch,dui assessment level,all,B.3) Cond. Dis. Level 3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
no assess,cond disch,dui assessment level,all,B.4) Cond. Dis. / No Assess,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,B.5)  Total:,0,0,0,0,1,0,1,1,0,0,0,0,3,,,,,,,,,,,,,,,
level 1,supervision,dui assessment level,all,C.1) Supervision - Level 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
level 2 sig,supervision,dui assessment level,all,C.2a) Sup Level 2/Sig,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
level 2 mod,supervision,dui assessment level,all,C.2b) Sup Level 2/Md,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,,
level 3,supervision,dui assessment level,all,C.3) Supervision - Level 3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
no assess,supervision,dui assessment level,all,C.4) Sup/No Assess,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,
,,,,C.5)  Total:,0,0,0,0,0,0,0,1,1,0,1,0,3,,,,,,,,,,,,,,,
,,,,VII.a. HOME CONFINEMENT,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
electric,home confinment,new cases,all,A.1) Elec Mon Ord,3,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,
non-elecric,home confinment,new cases,all,B.1) Non-Elec. Mon. Ordered ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,C. Total:,3,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
electric,home confinment,population,all,A.2) Elec. Mon. Total,3,0,0,0,0,0,0,0,0,0,0,0,0.3,,,,,,,,,,,,,,,
non-electric,home confinment,population,all,B.2) Non-Elec. Mon. Total ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,C. Total:,3,0,0,0,0,0,0,0,0,0,0,0,0.3,,,,,,,,,,,,,,,
,,,,VII.b. SUPERVISED PRETRIAL RELEASE,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
electric,supervision pretrial,new cases,all,A.1) Elec. Mon. Ordered,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
non-electric,supervision pretrial,new cases,all,B.1) Non-Elec. Mon. Ordered ,16,11,25,9,15,23,37,29,21,10,14,9,219,,,,,,,,,,,,,,,
,,,,C. Total:,16,11,25,9,15,23,37,29,21,10,14,9,219,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
electric,supervision,population,all,A.2) Elec. Mon. Total ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
non-electric,supervision,population,all,B.2) Non-Elec. Mon. Total ,153,168,175,165,166,179,205,216,208,114,111,107,163.9,,,,,,,,,,,,,,,
,,,,C. Total:,153,168,175,165,166,179,205,216,208,114,111,107,163.9,,,,,,,,,,,,,,,
,,,,VIII. ACTIVE CASELOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A. Beginning Caseload,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
felony ,first-of-month,population FOM,felony,a. Felony,150,157,158,163,153,153,152,151,177,173,169,176,161,,,,,,,,,,,,,,,
misdemeanor,first-of-month,population FOM,other,b. Misdemeanor,61,57,54,56,63,60,63,58,63,68,71,73,62.3,,,,,,,,,,,,,,,
dui,first-of-month,population FOM,other,c. DUI,35,39,42,41,42,47,44,42,39,41,42,39,41.1,,,,,,,,,,,,,,,
traffic,first-of-month,population FOM,other,d. Traffic,3,3,3,4,5,4,3,2,1,0,0,0,2.3,,,,,,,,,,,,,,,
,,,,E. Total:,249,256,257,264,263,264,262,253,280,282,282,288,266.7,,,,,,,,,,,,,,,
,,,,B. Admissions - 1. Probation,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,probation,new cases,felony,a. Felony,16,13,25,9,16,10,14,19,16,15,19,18,190,,,,,,,,,,,,,,,
misdemeanor,probation,new cases,other,b. Misd.,3,1,6,10,5,5,6,3,8,5,6,4,62,,,,,,,,,,,,,,,
dui,probation,new cases,other,c. DUI,13,6,2,10,5,2,2,4,2,3,5,4,58,,,,,,,,,,,,,,,
traffic,probation,new cases,other,d. Traffic,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,E. Total:,32,20,33,30,26,17,22,26,26,23,30,26,311,,,,,,,,,,,,,,,
,,,,B. Admissions - 2. Cond. Dis.,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,conditional disch,new cases,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,conditional disch,new cases,other,b. Misd.,0,0,1,1,0,0,1,0,5,0,1,0,9,,,,,,,,,,,,,,,
dui,conditional disch,new cases,other,c. DUI,0,0,0,0,1,0,1,1,0,0,0,0,3,,,,,,,,,,,,,,,
traffic,conditional disch,new cases,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,0,0,1,1,1,0,2,1,5,0,1,0,12,,,,,,,,,,,,,,,
,,,,B. Admissions - 3. Supervision,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,supervision,new cases,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,supervision,new cases,other,b. Misd.,2,0,0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,
dui,supervision,new cases,other,c. DUI,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
traffic,supervision,new cases,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,3,0,0,1,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,
,,,,C. Readmitted Administrative,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,readmit admin,readmit admin,felony,a. Felony,2,0,0,0,2,1,0,15,2,0,0,1,23,,,,,,,,,,,,,,,
misdemeanor,readmit admin,readmit admin,other,b. Misd.,0,0,0,0,0,0,0,2,0,0,0,0,2,,,,,,,,,,,,,,,
dui,readmit admin,readmit admin,other,c. DUI,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,
traffic,readmit admin,readmit admin,other,d. Traffic,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,E. Total:,2,0,1,0,2,1,0,17,3,0,0,1,27,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
,,,,Subtotal Felony,168,170,183,172,171,164,166,185,195,188,188,195,178.8,,,,,,,,,,,,,,,
,,,,Subtotal Misd.,66,58,61,68,68,65,70,63,76,73,78,77,68.6,,,,,,,,,,,,,,,
,,,,Subtotal DUI,49,45,44,51,48,49,47,47,42,44,47,43,46.3,,,,,,,,,,,,,,,
,,,,Subtotal Traffic,3,3,4,5,5,4,3,2,1,0,0,0,2.5,,,,,,,,,,,,,,,
,,,,D. Subtotal Beg. ,286,276,292,296,292,282,286,297,314,305,313,315,296.2,,,,,,,,,,,,,,,
,,,,VIII. (E) CASES DROPPED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.Scheduled Termination,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony ,scheduled termination,discharge,felony,a. Felony,3,4,4,7,5,4,3,1,5,6,2,6,50,,,,,,,,,,,,,,,
misdemeanor,scheduled termination,discharge,other,b. Misd.,7,3,5,0,2,0,6,0,4,2,2,2,33,,,,,,,,,,,,,,,
dui,scheduled termination,discharge,other,c. DUI,0,0,1,2,0,2,5,1,0,0,1,1,13,,,,,,,,,,,,,,,
traffic,scheduled termination,discharge,other,d. Traffic,0,0,0,0,1,1,1,1,1,0,0,0,5,,,,,,,,,,,,,,,
,,,,E. Total:,10,7,10,9,8,7,15,3,10,8,5,9,101,,,,,,,,,,,,,,,
,,,,2. Early Termination,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,early termination,discharge,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,early termination,discharge,other,b. Misd.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,early termination,discharge,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,early termination,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,3. Absconder/Warrant,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,absconder/warrant,discharge,felony,a. Felony,0,0,0,0,0,0,1,0,1,0,0,1,3,,,,,,,,,,,,,,,
misdemeanor,absconder/warrant,discharge,other,b. Misd.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,absconder/warrant,discharge,other,c. DUI,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
traffic,absconder/warrant,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,0,0,0,0,0,1,1,0,1,0,0,1,4,,,,,,,,,,,,,,,
,,,,4. Revoked-Technical ,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,revoked-technical,discharge,felony,a. Felony,0,1,2,2,1,1,1,1,3,0,0,0,12,,,,,,,,,,,,,,,
misdemeanor,revoked-technical,discharge,other,b. Misd.,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
dui,revoked-technical,discharge,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,revoked-technical,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,0,1,2,2,1,1,2,1,3,0,0,0,13,,,,,,,,,,,,,,,
,,,,5. Revoked- New Violation,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,revoked-new,discharge,felony,a. Felony,1,1,0,1,0,0,0,0,2,0,1,1,7,,,,,,,,,,,,,,,
misdemeanor,revoked-new,discharge,other,b. Misd.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,revoked-new,discharge,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,revoked-new,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,1,1,0,1,0,0,0,0,2,0,1,1,7,,,,,,,,,,,,,,,
,,,,6. Alternate DOC Commit,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,alt doc commit,discharge,felony,a. Felony,1,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
misdemeanor,alt doc commit,discharge,other,b. Misd.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,alt doc commit,discharge,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,alt doc commit,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,1,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
,,,,7.Unsatisfactory Termination,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,unsatisfactory,discharge,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,unsatisfactory,discharge,other,b. Misd.,0,0,0,0,1,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,
dui,unsatisfactory,discharge,other,c. DUI,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,
traffic,unsatisfactory,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,0,0,0,0,1,0,1,0,0,0,1,1,4,,,,,,,,,,,,,,,
,,,,8. Transferred Out,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,transferred,discharge,felony,a. Felony,5,4,14,9,11,7,10,6,11,12,9,13,111,,,,,,,,,,,,,,,
misdemeanor,transferred,discharge,other,b. Misd.,2,1,0,5,5,2,4,0,4,0,3,3,29,,,,,,,,,,,,,,,
dui,transferred,discharge,other,c. DUI,10,3,2,7,1,2,0,3,1,2,6,2,39,,,,,,,,,,,,,,,
traffic,transferred,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,17,8,16,21,17,11,14,9,16,14,18,18,179,,,,,,,,,,,,,,,
,,,,9. Other (Explain),,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,other,discharge,felony,a. Felony,1,2,0,0,0,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,
misdemeanor,other,discharge,other,b. Misd.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,other,discharge,other,c. DUI,0,0,0,0,0,0,0,4,0,0,0,0,4,,,,,,,,,,,,,,,
traffic,other,discharge,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total:,1,2,0,0,0,0,0,4,0,1,0,0,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
,,,,E.10. Subtot Felony,11,12,20,19,18,12,15,8,22,19,12,21,189,,,,,,,,,,,,,,,
,,,,E.10. Subtot Misd.,9,4,5,5,8,2,12,0,8,2,5,5,65,,,,,,,,,,,,,,,
,,,,E.10. Subtotal DUI,10,3,3,9,1,5,5,8,1,2,8,4,59,,,,,,,,,,,,,,,
,,,,E.10. Subtot Traffic,0,0,0,0,1,1,1,1,1,0,0,0,5,,,,,,,,,,,,,,,
,,,,E.10. Subtotal Cases Dropped,30,19,28,33,28,20,33,17,32,23,25,30,318,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
,,,,F. Total Actv Fel,157,158,163,153,153,152,151,177,173,169,176,174,163,,,,,,,,,,,,,,,
,,,,F. Total Actv Misd,57,54,56,63,60,63,58,63,68,71,73,72,63.2,,,,,,,,,,,,,,,
,,,,F. Total Actv DUI,39,42,41,42,47,44,42,39,41,42,39,39,41.4,,,,,,,,,,,,,,,
,,,,F. Total Actv Traff,3,3,4,5,4,3,2,1,0,0,0,0,2.1,,,,,,,,,,,,,,,
